Time,south_north,west_east,XLAT,XLONG,XTIME,T2
0,0,0,28.17128,-93.648926,2024-08-25,302.79688
0,0,1,28.156246,-93.34589,2024-08-25,302.9505
0,0,2,28.140198,-93.04297,2024-08-25,303.01883
0,0,3,28.123142,-92.740234,2024-08-25,302.92505
0,0,4,28.105068,-92.43762,2024-08-25,302.88287
0,0,5,28.086006,-92.13519,2024-08-25,302.74158
0,0,6,28.065926,-91.832886,2024-08-25,302.72125
0,0,7,28.044838,-91.53079,2024-08-25,302.6883
0,0,8,28.022758,-91.22888,2024-08-25,302.67673
0,0,9,27.99968,-90.927155,2024-08-25,302.66556
0,0,10,27.975582,-90.62561,2024-08-25,302.67688
0,0,11,27.950508,-90.32431,2024-08-25,302.52844
0,0,12,27.924416,-90.02319,2024-08-25,302.40924
0,0,13,27.897335,-89.72232,2024-08-25,302.41925
0,0,14,27.869263,-89.42169,2024-08-25,302.4079
0,0,15,27.840195,-89.12131,2024-08-25,302.2691
0,0,16,27.810143,-88.82117,2024-08-25,302.13467
0,0,17,27.77909,-88.52127,2024-08-25,301.9577
0,0,18,27.747059,-88.22165,2024-08-25,302.29056
0,0,19,27.714031,-87.9223,2024-08-25,302.377
0,0,20,27.68003,-87.62323,2024-08-25,302.39914
0,0,21,27.645035,-87.32446,2024-08-25,302.56256
0,0,22,27.609066,-87.026,2024-08-25,302.62955
0,0,23,27.57212,-86.727844,2024-08-25,302.58344
0,0,24,27.534203,-86.42999,2024-08-25,302.44135
0,0,25,27.495304,-86.13245,2024-08-25,302.15024
0,0,26,27.455421,-85.835266,2024-08-25,302.1595
0,0,27,27.414585,-85.53839,2024-08-25,302.0277
0,0,28,27.372784,-85.24188,2024-08-25,302.0275
0,0,29,27.330006,-84.94574,2024-08-25,301.92526
0,0,30,27.286278,-84.6499,2024-08-25,301.81744
0,0,31,27.241581,-84.35449,2024-08-25,301.6989
0,0,32,27.195934,-84.05942,2024-08-25,301.63953
0,0,33,27.149326,-83.76474,2024-08-25,301.72058
0,0,34,27.10176,-83.47046,2024-08-25,301.8871
0,0,35,27.05326,-83.176575,2024-08-25,302.18137
0,0,36,27.003796,-82.88306,2024-08-25,302.62473
0,0,37,26.953396,-82.59,2024-08-25,302.98233
0,0,38,26.902054,-82.29733,2024-08-25,302.62003
0,0,39,26.849781,-82.0051,2024-08-25,302.30865
0,0,40,26.79657,-81.71329,2024-08-25,301.96365
0,0,41,26.742405,-81.421906,2024-08-25,300.77234
0,0,42,26.687332,-81.13098,2024-08-25,299.8822
0,0,43,26.631317,-80.840515,2024-08-25,299.9024
0,0,44,26.574402,-80.55051,2024-08-25,299.2646
0,0,45,26.516544,-80.260956,2024-08-25,301.8677
0,0,46,26.457775,-79.97186,2024-08-25,301.92303
0,0,47,26.398083,-79.68329,2024-08-25,301.6692
0,0,48,26.337498,-79.39514,2024-08-25,301.79266
0,0,49,26.275993,-79.107544,2024-08-25,301.77036
0,0,50,26.213593,-78.82037,2024-08-25,301.49774
0,0,51,26.150276,-78.53375,2024-08-25,301.42328
0,0,52,26.086079,-78.24762,2024-08-25,301.46222
0,0,53,26.020973,-77.962036,2024-08-25,301.4702
0,0,54,25.954987,-77.67694,2024-08-25,301.4661
0,0,55,25.888107,-77.392395,2024-08-25,301.40173
0,0,56,25.820358,-77.10834,2024-08-25,301.3706
0,0,57,25.751701,-76.82486,2024-08-25,301.5742
0,0,58,25.682182,-76.5419,2024-08-25,301.60867
0,0,59,25.611794,-76.25949,2024-08-25,301.46655
0,0,60,25.540527,-75.97766,2024-08-25,301.2595
0,0,61,25.468414,-75.69635,2024-08-25,301.6272
0,0,62,25.39544,-75.41562,2024-08-25,301.72748
0,0,63,25.321594,-75.13547,2024-08-25,301.53052
0,0,64,25.246895,-74.855896,2024-08-25,301.89853
0,0,65,25.171349,-74.576904,2024-08-25,301.87195
0,0,66,25.094955,-74.29846,2024-08-25,301.72757
0,0,67,25.01773,-74.02063,2024-08-25,301.7581
0,0,68,24.939636,-73.74341,2024-08-25,301.95023
0,0,69,24.860748,-73.46677,2024-08-25,302.09744
0,0,70,24.781006,-73.190735,2024-08-25,301.88486
0,0,71,24.700447,-72.91528,2024-08-25,301.9536
0,0,72,24.619072,-72.64047,2024-08-25,301.89642
0,1,0,28.43864,-93.632385,2024-08-25,303.07147
0,1,1,28.423527,-93.328186,2024-08-25,303.1238
0,1,2,28.407394,-93.02414,2024-08-25,303.17776
0,1,3,28.390247,-92.720245,2024-08-25,303.1219
0,1,4,28.3721,-92.416504,2024-08-25,302.95456
0,1,5,28.352928,-92.112915,2024-08-25,302.83405
0,1,6,28.332752,-91.80948,2024-08-25,302.75555
0,1,7,28.311558,-91.506226,2024-08-25,302.6137
0,1,8,28.289375,-91.203186,2024-08-25,302.69836
0,1,9,28.26617,-90.90033,2024-08-25,302.64825
0,1,10,28.241943,-90.59766,2024-08-25,302.6195
0,1,11,28.216743,-90.29523,2024-08-25,302.41702
0,1,12,28.190521,-89.99301,2024-08-25,302.1988
0,1,13,28.163303,-89.69101,2024-08-25,302.24625
0,1,14,28.135086,-89.38925,2024-08-25,302.38397
0,1,15,28.10588,-89.08774,2024-08-25,302.38733
0,1,16,28.075665,-88.7865,2024-08-25,302.318
0,1,17,28.044464,-88.48547,2024-08-25,302.27817
0,1,18,28.012268,-88.18475,2024-08-25,302.04562
0,1,19,27.979065,-87.88431,2024-08-25,302.07425
0,1,20,27.9449,-87.58414,2024-08-25,302.15286
0,1,21,27.909725,-87.28427,2024-08-25,302.43958
0,1,22,27.87358,-86.98471,2024-08-25,302.3683
0,1,23,27.836445,-86.685455,2024-08-25,302.12115
0,1,24,27.79834,-86.386505,2024-08-25,301.9
0,1,25,27.75925,-86.08789,2024-08-25,301.99905
0,1,26,27.71917,-85.78961,2024-08-25,301.9994
0,1,27,27.678127,-85.49167,2024-08-25,301.88513
0,1,28,27.636116,-85.19409,2024-08-25,301.88873
0,1,29,27.593117,-84.89685,2024-08-25,301.78268
0,1,30,27.549171,-84.599976,2024-08-25,301.67654
0,1,31,27.504238,-84.3035,2024-08-25,301.66272
0,1,32,27.458366,-84.007385,2024-08-25,301.67108
0,1,33,27.411518,-83.71164,2024-08-25,301.79242
0,1,34,27.36372,-83.41629,2024-08-25,301.87155
0,1,35,27.31498,-83.12134,2024-08-25,302.19897
0,1,36,27.265263,-82.82684,2024-08-25,302.84515
0,1,37,27.214615,-82.532715,2024-08-25,302.4036
0,1,38,27.163029,-82.23901,2024-08-25,301.40826
0,1,39,27.11047,-81.94574,2024-08-25,301.27832
0,1,40,27.056988,-81.65292,2024-08-25,300.4373
0,1,41,27.002567,-81.360535,2024-08-25,299.87625
0,1,42,26.947208,-81.0686,2024-08-25,300.78925
